site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840170313103,0,10,20131214T0100-0600,61103,60,0,4.2,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131213T0100-0600,61103,60,0,2.3,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131213T0100-0600,61103,60,0,2.7,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170313103,0,10,20131213T0100-0600,61103,60,0,4.3,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170313103,0,10,20131212T0100-0600,61103,60,0,5.2,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310076,0,10,20131212T0100-0600,61103,60,0,3.7,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310001,0,10,20131212T0100-0600,61103,60,0,4,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310001,0,10,20131211T0100-0600,61103,60,0,5,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131211T0100-0600,61103,60,0,5.1,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170313103,0,10,20131211T0100-0600,61103,60,0,7.1,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170313103,0,10,20131210T0100-0600,61103,60,0,6,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131210T0100-0600,61103,60,0,4.7,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131210T0100-0600,61103,60,0,4.3,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310076,0,10,20131209T0100-0600,61103,60,0,7.6,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310001,0,10,20131209T0100-0600,61103,60,0,9.3,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131209T0100-0600,61103,60,0,9.7,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310076,0,10,20131208T0100-0600,61103,60,0,4,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310001,0,10,20131208T0100-0600,61103,60,0,3.1,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131208T0100-0600,61103,60,0,4.1,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310076,0,10,20131207T0100-0600,61103,60,0,6.2,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
